,precision,recall,f1-score,support
angry,0.36312849162011174,0.2035490605427975,0.2608695652173913,958.0
disgust,0.0,0.0,0.0,111.0
fear,0.2574074074074074,0.1357421875,0.17774936061381075,1024.0
happy,0.553770086526576,0.7576099210822999,0.6398476553201619,1774.0
neutral,0.3825806451612903,0.48094079480940793,0.4261588214157384,1233.0
sad,0.4176548089591568,0.25421010425020046,0.3160518444666002,1247.0
surprise,0.4307692307692308,0.7075812274368231,0.5355191256830601,831.0
accuracy,0.44246308163833936,0.44246308163833936,0.44246308163833936,0.44246308163833936
macro avg,0.34361581006339614,0.36280475651736127,0.33659948181668037,7178.0
weighted avg,0.4101918538145122,0.44246308163833936,0.4084152966819238,7178.0
