,precision,recall,f1-score,support
angry,0.65625,0.5185185185185185,0.5793103448275863,81.0
disgust,0.3157894736842105,0.075,0.12121212121212122,80.0
fear,0.6666666666666666,0.2702702702702703,0.38461538461538464,37.0
happy,0.857397504456328,0.8111298482293423,0.8336221837088388,593.0
neutral,0.6377171215880894,0.7558823529411764,0.6917900403768507,340.0
sad,0.5382059800664452,0.6778242677824268,0.6,239.0
surprise,0.6627906976744186,0.6909090909090909,0.6765578635014837,165.0
accuracy,0.698371335504886,0.698371335504886,0.698371335504886,0.698371335504886
macro avg,0.6192596348765941,0.5427906212358321,0.5553011340346093,1535.0
weighted avg,0.694682938368805,0.698371335504886,0.6875768684065074,1535.0
