,precision,recall,f1-score,support
angry,0.765625,0.6049382716049383,0.6758620689655173,81.0
disgust,0.48,0.3,0.36923076923076925,80.0
fear,0.6363636363636364,0.3783783783783784,0.4745762711864407,37.0
happy,0.8525963149078727,0.8583473861720068,0.8554621848739495,593.0
neutral,0.6286407766990292,0.7617647058823529,0.6888297872340425,340.0
sad,0.6516393442622951,0.6652719665271967,0.6583850931677019,239.0
surprise,0.773972602739726,0.6848484848484848,0.7266881028938906,165.0
accuracy,0.7342019543973941,0.7342019543973941,0.7342019543973941,0.7342019543973941
macro avg,0.6841196678532228,0.6076498847733368,0.635576325364616,1535.0
weighted avg,0.73402986390504,0.7342019543973941,0.7300269633178931,1535.0
