,precision,recall,f1-score,support
angry,0.7580645161290323,0.5802469135802469,0.6573426573426573,81.0
disgust,0.5396825396825397,0.425,0.4755244755244755,80.0
fear,0.65,0.35135135135135137,0.45614035087719296,37.0
happy,0.8505564387917329,0.9021922428330523,0.8756137479541735,593.0
neutral,0.6934523809523809,0.6852941176470588,0.6893491124260355,340.0
sad,0.7161572052401747,0.6861924686192469,0.7008547008547008,239.0
surprise,0.6683673469387755,0.793939393939394,0.7257617728531855,165.0
accuracy,0.7537459283387622,0.7537459283387622,0.7537459283387622,0.7537459283387622
macro avg,0.6966114896763765,0.6320309268529071,0.6543695454046317,1535.0
weighted avg,0.7493314599385419,0.7537459283387622,0.7485579954761534,1535.0
